date,weight_kg,sleep_time
25/07/01,64.2,6:00:00
26/02/18,63.5,6:48:00
26/02/19,63.6,6:20:00
26/02/20,63.4,7:54:00
26/02/21,63.4,6:11:00
26/02/22,63.5,6:03:00
26/02/23,63.3,6:16:00
26/02/24,63.3,6:37:00
26/02/25,62.8,7:40:00
26/02/26,62.7,7:47:00
26/02/27,62.8,7:49:00
26/02/28,63.0,6:09:00
26/03/01,62.9,8:38:00
26/03/02,62.6,7:13:00
26/03/03,62.0,7:43:00
26/03/04,61.8,8:38:00
26/03/05,61.7,7:31:00
26/03/06,61.8,6:55:00
26/03/07,61.5,8:14:00
26/03/08,62.0,8:05:00
26/03/09,61.8,7:55:00
26/03/10,61.4,7:36:00
26/03/11,61.5,6:48:00
26/03/12,61.7,7:33:00
26/03/13,61.1,6:47:00
26/03/14,61.3,6:28:00
26/03/15,61.0,8:16:00
26/03/16,61.2,7:52:00
26/03/17,61.3,5:34:00
26/03/18,60.9,7:52:00
26/03/19,60.5,7:46:00
26/03/20,60.7,8:05:00
26/03/24,61.0,8:47:00
26/03/25,60.7,7:55:00
26/03/26,60.6,6:24:00
26/03/27,60.2,6:59:00
26/03/28,60.1,7:28:00
26/03/29,60.0,8:50:00
26/03/30,60.1,8:16:00
26/03/31,59.5,9:03:00
26/04/01,59.5,7:46:00
26/04/02,59.4,7:33:00
26/04/03,59.2,7:32:00
26/04/04,58.9,8:05:00
26/04/05,59.4,6:58:00
26/04/06,59.5,6:51:00
26/04/07,59.2,7:23:00
26/04/08,59.2,7:00:00
26/04/09,58.8,6:48:00
26/04/10,59.1,7:15:00
26/04/11,58.7,7:28:00
26/04/12,59.0,8:59:00
26/04/13,59.2,7:58:00
26/04/14,59.4,6:35:00
